publisher_id,bgg_id,name_en,game_count,description,country_code
pub_25203,25203,Lex Games,39,This page does not exist. You can edit this page to create it.,
pub_34501,34501,Boardgame Space,24,"Boardgame Space is a board game publisher/distributor founded in Dubai, United Arab Emirates (UAE), in 2015.   Boardgame Space specialises in English language distribution of modern tabletop games cat",AE
pub_10562,10562,hobbity.eu,23,"The Hobbity company was established by board games fanatics, for whom up-to-date games are not only an excellent way to spend your free time in the family circle but also an important Hobby with capit",PL
pub_48279,48279,SuperHeated Neurons,22,"Established in 2015,  SuperHeated Neurons  is a multinational publisher and distributor of board games in the Arab World with head offices in Dubai and Beirut. Led by a passionate and dedicated team, ",AE
pub_5085,5085,Geoludie,21,This page does not exist. You can edit this page to create it.,FR
pub_24792,24792,Green Eye Games,21,This page does not exist. You can edit this page to create it.,
pub_225,225,Cardinal,21,"For over 50 years Cardinal has been manufacturing quality board, card, and travel games such as Dominoes, Mancala, Chess, Checkers, and Bingo.   Cardinal also works closely with retailers on Private L",US
pub_24589,24589,Gremlin Project,20,This page does not exist. You can edit this page to create it.,IT
pub_6261,6261,Mitra,19,"Na era dos computadores, do videogame e dos brinquedos eletr&ocirc;nicos &eacute; poss&iacute;vel despertar o interesse por simples artefatos de madeira?   N&oacute;s, da MITRA - OFFICINA DE CRIA&Cced",BR
pub_27082,27082,Kingdom Death,19,publisher of   Kingdom Death: Monster    and the related Expansions      admin comment   the legal name of the company is  Adam Poots Games LLC  ... d/b/a Kingdom Death,US
pub_14078,14078,Vennerød Forlag AS,19,www.smartegaver.no    Branches:       Venner&ouml;d F&ouml;rlag Sverige AB,NO
pub_16755,16755,Artipia Games,19,Microbadge       Artipia Games Fa…,GR
pub_36015,36015,"Orange Nebula, LLC",19,"Orange Nebula, LLC   is a team of creative professionals making pop culturey type things with the goal of inspiring people, themselves included, to think bigger.         Microbadge:  <a href=""/…",US
pub_33579,33579,Mythic Games,19,Mythic Games  was a tabletop game publisher established in Luxembourg in 2015 and became one of the top grossing Kickstarter board game publishers. They aimed to create and develop high quality games ,LU
pub_485,485,Dal Negro,18,This page does not exist. You can edit this page to create it.,IT
pub_23957,23957,Gamelyn Games,18,"Gamelyn Games  founded by Michael Coe and best known for their Tiny Epic games, delivers thought provoking, high quality, and affordable products with top-notch customer service.    Gamelyn Games  is ",US
pub_1711,1711,Synergy Games,18,This page does not exist. You can edit this page to create it.,
pub_49615,49615,Meeple,17,"We bring the greatest games the world has to offer to the land Down Under.   Meeple is all about incredible gameplay, stunning productions, and experiences that players will remember long after leavin",AU
pub_40920,40920,2 Pionki,17,"2 pionki publishing house was created with passion to the board games and card games and from a need to share the knowledge with the others. In search of games, we visit various corners around the wor",PL
pub_3659,3659,Catan GmbH,17,This page does not exist. You can edit this page to create it.,DE
pub_5915,5915,NewVenture Games,17,"NewVenture Games publishes a range of small family games, including the Peg Pastimes historic games from around the world. These games include a brief history of the game as well as the rules. In addi",UK
pub_83,83,R&D Games,16,"History    R&amp;D Games was formed in 1989 by hobbyist Richard Breese, in order to publish largely his own designs. Richard is an accountant, and designs in his 'spare' time. Richard's sister Juliet ",UK
pub_531,531,Esdevium,16,"Esdevium Games, founded in the 1970s, was named after the initials of its founders, Samuel Duncan and Valerie May.",UK
