publisher_id,bgg_id,name_en,game_count,description,country_code
pub_25203,25203,Lex Games,39,This page does not exist. You can edit this page to create it.,
pub_24792,24792,Green Eye Games,21,This page does not exist. You can edit this page to create it.,
pub_1711,1711,Synergy Games,18,This page does not exist. You can edit this page to create it.,
pub_1017,1017,ABRA,16,This page does not exist. You can edit this page to create it.,
pub_2401,2401,CHH Games,14,This page does not exist. You can edit this page to create it.,
pub_233,233,Invicta Games,9,This page does not exist. You can edit this page to create it.,
pub_42875,42875,Abraxas,7,The bird fights its way out of the egg. The egg is the world. Who would be born must first destroy a world. The bird flies to God. That God's name is Abraxas.   &mdash;&thinsp;Hermann Hesse's 1919 nov,
pub_54051,54051,4GAMES,7,"4GAMES is a board games publisher founded in 2023  A small team of like-minded people in love with board games!  We are focused primarily on family and children's games, but we do not disregard games ",
pub_58538,58538,Board Bound,6,"We are Board Bound, yet a small company, but we are aimed at bringing best games to layers all around the world.",
pub_73,73,Blatz,5,This page does not exist. You can edit this page to create it.,
pub_6514,6514,Adrenaline Brush Ltd,5,This page does not exist. You can edit this page to create it.,
