publisher_id,bgg_id,name_en,description,country_code
pub_50696,50696,CoolPlay,"<p>CoolPlay is a board game publisher and distributor from Belgrade, Serbia.</p> <p>We are very Cool and we really like to Play games which we localized: Gloomhaven Jaws of the Lion, Earth, Heat, Azul",
pub_46500,46500,Lord of Boards,"<p>Young but ambitious publisher from Ukraine</p> <p><a rel=""nofollow"" href=""https://lordofboards.com.ua/"" onclick=""window.open(this.href, '_blank'); return false;"">https://lordofboards.com.ua/</a></p",
pub_36186,36186,PHALANX,"<p><strong>PHALANX</strong> is a boardgames publishing house. Our goal is to publish beautiful, challenging games, with unique theme. In 2014 our game <em><a href=""/boardgame/148601/1944-race-to-the-r",
pub_51614,51614,MIPL,"<p>Mipl is associated with everything connected with board games in Serbia. It is a brand under Pridemage Games company. <br /> Since the year 2020, <a href=""/boardgamepublisher/36366/pridemage-games""",
pub_22609,22609,テンデイズゲームズ (TendaysGames),<p>game publisher</p>,
pub_15889,15889,Asterion Press,"<p>Publisher of Sine Requie, Nephandum and Empyrea.</p>",
pub_27425,27425,Cephalofair Games,"<p>Cephalofair Games is a small board game design and publishing company founded by Isaac Childres in Lafayette, IN. They specialize in thematic Euro-style game play.</p>",
pub_36,36,Sophisticated Games,"<p>Ten years old this year (2008), Sophisticated Games publishes high quality board games such as Lord of the Rings, The Hobbit, The Golden Compass, Ingenious, Shakespeare. We aim to develop games tha",
pub_46980,46980,Brädspel.se,"<p><strong>Br&auml;dspel.se</strong> is a Nordic board game distributor. They select and focus on the best board games; listening to the press, and to the Games of the Year competitions all over the w",
pub_22763,22763,Golden Egg Games,"<p>A small game publisher that focuses on in house game designs by the founder, Elad Goldsteen.</p> <p><strong>Microbadges:</strong></p> <p><a href=""/microbadge/24827""><img alt='Microbadge: Fallen Cit",
pub_5380,5380,Intrafin Games,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_32866,32866,Kilogames,"<p>Ukrainian boardgames publisher founded in 2015 year.</p> <p><strong>Microbadge:</strong><br /> <a href=""/microbadge/56817""><img alt='Microbadge: Kilogames fan' onmouseover=""return overlib('Kilogame",
pub_32395,32395,NeoTroy Games,"<p>&quot;With their Don Quijote like stand against video, console and application games, NeoTroy Games team shows an endless determination to introduce &ldquo;really&rdquo; fun traditional board games",
pub_48279,48279,SuperHeated Neurons,"<p>Established in 2015, <strong>SuperHeated Neurons</strong> is a multinational publisher and distributor of board games in the Arab World with head offices in Dubai and Beirut. Led by a passionate an",
pub_28826,28826,Rooster Games,"<p>Publishing imprint of <a href=""/boardgameartist/79568/emanuele-galletto"" >Emanuele Galletto</a>.</p>",
pub_17543,17543,"Greater Than Games, LLC","<p>Greater Than Games was founded in 2011 by Christopher Badell, Adam Rebottaro, and Paul Bender with our flagship game Sentinels of the Multiverse! Since then we have prided ourselves on publishing e",
pub_50454,50454,Fabled Nexus,"<p>Fabled Nexus Games is an imprint of Greater Than Games, LLC.</p>",
pub_48438,48438,Games7Days,"<p><strong>Games7Days is a Ukrainian publisher of board games.</strong><br /> We started our activity in 2018, creating the production of quality sleeves for board games. Sleeves of our trademark occu",
pub_57596,57596,Automa Factory,"<p><em><strong>Automa Factory</strong></em> is small board game consulting company founded by <a href=""/boardgamedesigner/71006/morten-monrad-pedersen"" >Morten Monrad Pedersen</a> to assist <a href=""/",
pub_858,858,Grow Jogos e Brinquedos,"<p><a href=""/boardgamepublisher/858/grow-jogos-e-brinquedos"" >Grow Jogos e Brinquedos</a> <a href=""/microbadge/49526""><img alt='Microbadge: Grow, Jogos e Brinquedos' onmouseover=""return overlib('Grow,",
pub_36981,36981,Feelindigo,"<p>Ukrainian board game publisher established in 2015.</p> <p>To gain experience, FEELINDIGO began by cooperating with world publishers. The team received valuable experience in creating localizations",
pub_40788,40788,Contention Games,"<p>Following the fun, wherever it leads.</p>",
pub_28415,28415,GoKids 玩樂小子,<p>GoKids玩樂小子 我們會在這裡推薦由美國、加拿大、法國進口，適合3-10歲得獎好玩的綠色木製玩具、勞作、益智遊戲及桌上遊戲，讓小朋友玩的專心又有成就感！</p> <p>GoKids 引進的遊戲或玩具，是我們在美國收到的禮物或朋友推薦的玩具，而且在觀察小朋友玩樂後再精心挑選有美感、最有趣、最好玩的。 除此之外，GoKids並與國內及國外的兒童專家合作，通過討論與了解，選出真正適合各個年齡層,
pub_44043,44043,Metagame Studio,<p>Developer of idle games for mobile.</p> <p><strong>User Summary</strong></p>,
pub_31904,31904,Ponva d.o.o.,"<p>From the publisher:</p> <p>Ponva d.o.o. is located in Slovenia. <br /> The driving principle is bringing quality board games to Slovenian, Croatian and Serbian markets.</p>",
pub_7,7,Warfrog Games,"Warfrog Games was <a href=""/boardgamedesigner/6/martin-wallace"" >Martin Wallace</a>'s now-defunct publishing company. The company's name was changed in 2010 to <a href=""/boardgamepublisher/12275/treef",
pub_7097,7097,"FRED Distribution, Inc.","<p><strong>FRED Distribution, Inc.</strong> is the parent (legal entity) game company for <a href=""/boardgamepublisher/597/eagle-gryphon-games"" >Eagle-Gryphon Games</a>.</p> <p>For customer service qu",
pub_34501,34501,Boardgame Space,"<p>Boardgame Space is a board game publisher/distributor founded in Dubai, United Arab Emirates (UAE), in 2015.</p> <p>Boardgame Space specialises in English language distribution of modern tabletop g",
pub_9634,9634,KADABRA,"<p>KADABRA is a premier board game distributor, publisher, and developer serving Lithuania, Latvia, and Estonia since 2006. We specialize in three core areas:</p> <p>Distribution &amp; Retail: Operati",
pub_36366,36366,Pridemage Games,"<p>Board games publisher from Serbia, looking to bring and localize all the best board games.</p> <p>Since the year 2020, <a href=""/boardgamepublisher/36366/pridemage-games"" >Pridemage Games</a> publi",
pub_56068,56068,Planeta Igor,<p>Планета Ігор - Ukrainian publisher and shop.</p>,
pub_13274,13274,Penny Arcade,"<p>&quot;<em><strong>Penny Arcade</strong></em> is a webcomic focused on video games and video gaming culture, written by <a href=""/boardgamedesigner/28403/jerry-holkins"" >Jerry Holkins</a> and illust",
pub_8401,8401,PD-Verlag,"<p><a rel=""nofollow"" href=""http://www.pd-verlag.de/spiele/index.html"" onclick=""window.open(this.href, '_blank'); return false;"">http://www.pd-verlag.de/spiele/index.html</a></p> <p><strong>Microbadges",
pub_56684,56684,Laguna,"<p><strong>Laguna</strong> is a Serbian book and board game publisher that was founded in 1998, and has since then become the leading book publishing house in Serbia and the Balkan region. Annually in",
pub_52408,52408,Games4you,"<p>The Games4you store offers board games and educational games for children and adults. Here you can find various board games for all ages.</p> <p><a rel=""nofollow"" href=""https://games4you.rs/drustve",
pub_57696,57696,Goblin Gaming,"<p>Based in Istanbul, Turkey, <strong>Goblin Gaming</strong> is publishing games from both Turkish game designers (<em>İhtilal</em>, <em>İnkılap</em>, <em>G&ouml;beklitepe: Dawn of Human</em>) and for",
pub_44204,44204,Spilbræt.dk,"<p>Publishers own description:<br /> Spilbr&aelig;t.dk er nordisk distribut&oslash;r af br&aelig;tspil. Vi forhandler br&aelig;tspil, puslespil og science kits udvalgt med omhu til butikker o.l. i hel",
pub_56861,56861,本长文化,<p>本长文化 is a company that integrates the research and development and experience of desktop games. The company adheres to the idea of &quot;More Games More Fun&quot; and strives to bring people back t,
pub_50269,50269,Salta da Caixa,<p>Salta da Caixa is a dream come true from a family who is passionate about boardgames. We love to spend our free time among friends and family around the table playing boardgames. We believe in the ,
pub_6275,6275,HomoLudicus,"HomoLudicus is a young company that was born in 2007. Our goal, hope and illusion is that everyone can enjoy table games as much as we do. That is why we decided to create a company that contributed t",
pub_49615,49615,Meeple,"<p>We bring the greatest games the world has to offer to the land Down Under.</p> <p>Meeple is all about incredible gameplay, stunning productions, and experiences that players will remember long afte",
pub_38209,38209,Gameland 游戏大陆,"<p><strong>Gameland</strong> &mdash; In today's video games and social media world, we believe interaction and communication in the basic game are valuable for all the family. Gameland, willing to use",
pub_50565,50565,Bluebird Games,"<p>Bluebird Games is a Bulgarian publishing company, founded in 2021.</p> <p><a rel=""nofollow"" href=""https://www.bluebirdgames.bg/"" onclick=""window.open(this.href, '_blank'); return false;"">https://ww",
pub_40415,40415,Divercentro,"<p>Founded in 1992 with the principle of entertaining people. We concentrate on distributing and translating board games, card games and role playing games.</p>",
pub_47883,47883,WoodCat,"<p>Ukrainian publisher since 2019<br /> <a rel=""nofollow"" href=""https://woodcat.com.ua"" onclick=""window.open(this.href, '_blank'); return false;"">https://woodcat.com.ua</a></p> <p><strong>Microbadge:<",
